곡명|간단|후츠우|무즙|오니|우라
明け星|1|2|5|6|-
"僕の戦争
「進撃の巨人 FinalSeason」より"|3|4|5|8|-
"ウィーアー！
「ワンピース」より"|3|4|5|6|-
"Make debut!
TVアニメ『ウマ娘 プリティーダービー』OP主題歌より"|3|5|4|7|-
"チューリングラブ feat.Sou / ナナヲアカリ
ナユタン星人 / 「理系が恋に落ちたので証明してみた。」より"|2|5|6|8|-
Viva! Spark!トロピカル～ジュ！プリキュア|1|2|3|4|7
"月色Chainon
ももいろクローバーZ 劇場版「美少女戦士セーラームーンEternal」より"|3|4|6|7|-
"廻廻奇譚
Eve TVアニメ『呪術廻戦』第1クールオープニングテーマ"|4|5|6|8|-
"Realize
「Re:ゼロから始める異世界生活」より"|3|5|6|7|-
"Paradisus‐Paradoxum
「Re:ゼロから始める異世界生活」より"|3|5|6|8|-
炎|1|2|1|4|-
"紅蓮華
「鬼滅の刃」より"|2|2|3|6|8
"前前前世
映画「君の名は。」より"|3|4|6|8|-
"愛にできることはまだあるかい
「天気の子」より"|2|2|4|5|8
"ギンギラ銀河
「妖怪学園Y ～Nとの遭遇～」より"|2|3|4|6|-
"ようかい体操第一
「妖怪ウォッチ」より"|2|3|5|7|-
"残酷な天使のテーゼ
「新世紀エヴァンゲリオン」より"|4|4|6|7|8
やわらか戦車|3|5|6|6|9
"紅蓮の弓矢
「進撃の巨人」より"|5|6|6|8|-
"God knows...
「涼宮ハルヒの憂鬱」より"|3|4|4|7|9
"only my railgun
「とある科学の超電磁砲」より"|3|5|6|7|-
名探偵コナン メイン・テーマ|3|1|5|6|-
"めざせポケモンマスター ‐20th Anniversary‐
「劇場版ポケットモンスター キミにきめた！」より"|2|4|6|8|8
"Hope
安室奈美恵 「ワンピース」より"|2|3|5|7|-
夢をかなえてドラえもん|1|1|2|4|-
ひまわりの約束|3|4|5|7|-
アンパンマンのマーチ|2|1|5|1|-
ヒーリングっど♥プリキュア Touch!!|1|2|3|6|-
"ALMIGHTY～仮面の約束
「仮面ライダーセイバー」より"|1|1|4|6|-
シュガーソングとビターステップ|3|4|5|8|-
"Circle of Seasons
アニメ「A3!」より"|2|4|4|6|-
"DiSCOVER THE FUTURE
TVアニメ「アイドリッシュセブン Second BEAT！」より"|2|4|4|5|-
"サクリファイス
まふまふ ／TVアニメ「かつて神だった獣たちへ」より"|3|4|4|8|-
"零 ‐ZERO‐
福山雅治　「名探偵コナン ゼロの執行人」より"|2|3|5|7|-
"カウントダウン
「名探偵コナン」より"|2|4|5|8|-
"ハルウタ
「名探偵コナン 11人目のストライカー」より"|3|4|5|6|-
"OVER THE TOP
ONE PIECEワノ国編主題歌"|1|2|2|6|-
"Let It Go～ありのままで～
「アナと雪の女王」より"|2|2|2|4|-
