곡명|간단|후츠우|무즙|오니|우라
クラポルポルスカ SECRET!|4|5|7|10|-
"パリのアメリカ人 SECRET!
ガーシュウィン"|3|4|6|8|-
"火星 SECRET!
ホルスト"|4|5|6|7|-
クラシックメドレー（ロック編） SECRET!|4|5|8|8|-
"カルメン 組曲一番終曲
ビゼー"|3|5|5|7|-
"天国と地獄 序曲
オッフェンバック"|4|4|5|6|-
"ウィリアム・テル序曲
ロッシーニ"|3|5|7|7|-
チャーリー ダッシュ！|4|7|8|10|-
カレ・カノ・カノン|3|4|5|8|-
"熊蜂の飛行
リムスキー＝コルサコフ"|3|4|7|9|-
"第九交響曲
ベートーヴェン"|3|3|3|6|-
"交響曲第7番から
ベートーヴェン"|3|4|6|7|-
"白鳥の湖
～still a duckling～"|4|6|7|9|10
練習曲Op.10-4|3|4|8|9|10
幻想即興曲|5|7|8|9|-
千鼓千鼓|4|6|8|9|-
弩蚊怒夏|5|7|8|10|-
"「ルスランとリュドミラ」序曲
グリンカ"|3|5|7|8|-
道化師の朝の歌|5|7|7|8|-
美しく忙しきドナウ|4|4|6|8|10
クープランの墓|4|7|8|8|-
"亡き王女のためのパヴァーヌ
～きみのこどう～"|3|5|5|6|8
メヌエット|4|7|8|9|-
夜想曲Op.9－2|4|6|7|8|-
プチポチ|5|7|8|10|-
ハンロック|4|6|7|10|-
トッカータとフーガとロック|5|7|8|9|-
サーフサイド・サティ|5|7|8|8|-
"ヘ調の協奏曲 第3楽章
ガーシュウィン"|4|5|7|9|-
ロシア民謡メドレー|4|4|7|7|-
おおブレネリ|3|3|5|6|-
