title|sub_title|level|ranked|genre1|genre2|individual|first_play|full_combo|do_jo||||||
第六天魔王|제육천마왕|8|1|8|0|0|0|1|0||||||
Infinite Rebellion||8|1|8|0|0|0|0|0||||||
幽玄ノ乱||8|1|8|0|0|0|0|0||||||
poxei♦DOON|포세이♦돈|8|1|8|0|0|0|0|0||||||
ドンカマ2000|동카마 2000|8|1|8|0|1|1|0|0||||||
まださいたま2000|마다 사이타마 2000|8|1|8|0|1|0|0|0||||||
!!!カオスタイム!!!|!!!카오스 타임!!!|8|1|8|0|1|1|0|0||||||
Central Dogma Pt.1||8|1|8|0|1|0|0|0||||||
わら得る2000|와라에루 2000|8|1|8|0|0|1|0|0||||||
幕末維新譚|막말유신담|8|1|8|0|0|0|1|0||||||
絡繰廻廊|낙소회랑|8|2|8|0|1|0|0|0||||||
森羅万象|삼라만상|8|2|8|0|0|0|0|0||||||
DEBSTEP!||8|2|8|0|1|1|0|0||||||
続・〆ドレー2000|속·시메도레 2000|8|2|8|0|0|0|1|0||||||
デッド・オア・ダイ|DEAD or DIE|8|2|8|0|0|0|1|0||||||
疾風怒濤|질풍노도|8|2|8|0|0|0|0|0||||||
束ね糸|묶은 실|8|2|8|0|0|0|0|0||||||
トイマチック☆パレード!!|토이매틱☆퍼레이드!!|8|2|8|0|0|0|0|0||||||
亜空間遊泳ac12.5|아공간유영ac12.5|8|2|8|0|0|0|0|0||||||
懐中庭園を持つ少女|회중 정원을 가진 소녀|8|2|8|0|0|0|0|0||||||
Hurtling Boys||8|2|8|0|0|0|0|0||||||
〆ドレー2000|시메도레 2000|8|2|8|0|0|0|0|0||||||
スーハー2000|스하 2000|8|2|8|0|1|1|0|0||||||
きたさいたま2000|키타 사이타마 2000|8|2|8|0|0|0|0|0||||||
十露盤2000|십노반 2000|8|2|8|0|0|0|0|0||||||
赤と白薔薇の魔女|적과 백장미의 마녀|8|2|8|0|1|0|0|0||||||
D's Adventure Note||8|2|8|0|0|0|0|0||||||
カラフル|컬러풀|8|2|8|0|0|0|0|0||||||
UFO Swingin'||8|2|8|0|0|0|1|0||||||
またさいたま2000|마타 사이타마 2000|8|3|8|0|1|0|0|0||||||
Ridge Racer||8|3|5|0|0|0|0|0||||||
チャーリー ダッシュ！|찰리 대시!|8|3|7|8|0|0|0|0||||||
≠MM||8|3|8|0|0|0|0|0||||||
プチポチ|쁘띠 멍멍이|8|3|7|8|0|0|0|0||||||
Diving Drive||8|3|8|0|1|0|1|0||||||
憎悪と醜悪の花束|증오와 추악의 꽃다발|8|3|8|0|1|0|0|0||||||
Garakuta Doll Play||8|3|5|0|0|0|0|0||||||
Calculator||8|3|8|0|0|0|1|0||||||
DIMENSIONS||8|3|8|0|0|0|0|0||||||
FUJIN Rumble||8|3|5|0|0|0|0|0||||||
紫煌ノ乱|자황의 난|8|3|8|0|0|0|0|0||||||
クラシックメドレー(ロック編)|클래식 메들리 (록 편)|8|3|7|8|1|0|0|0||||||
うちゅうひこうし冒険譚|우주비행사 모험담|8|3|8|0|1|1|0|0||||||
4+1のそれぞれの未来|4+1의 각자의 미래|8|3|4|8|0|0|0|0||||||
Don't Stop the Game||8|3|8|0|0|0|0|0||||||
Central Dogma Pt.2||8|3|8|0|0|0|0|0||||||
万戈イム－一ノ十|성불 2000|8|4|8|0|1|0|0|0||||||
冷凍庫CJ|냉동고CJ|8|4|8|0|0|0|0|0||||||
Got more raves?||8|4|5|0|0|0|0|0||||||
初音ミクの消失‐劇場版‐|하츠네 미쿠의 소실 -극장판-|8|4|4|8|0|0|0|0||||||
気焔万丈神楽|기염만장신락|8|4|8|0|0|0|0|0||||||
タベルナ2000|타베루나 2000|8|4|8|0|0|0|0|0||||||
怒槌|분노의 망치|8|4|5|0|0|0|0|0||||||
Purple Rose Fusion||8|4|8|0|0|0|1|0||||||
ケチャドン2000|케챠동 2000|8|4|8|0|1|0|0|0||||||
アムピト♢リーテー|암피트♢리테|8|4|8|0|0|0|0|0||||||
EkiBEN2000||8|4|8|0|0|0|0|0||||||
FLOWER||8|4|5|0|0|0|0|0||||||
VERTeX||8|4|5|0|0|0|0|0||||||
Ignis Danse||8|4|8|0|1|0|0|0||||||
トッカータとフーガとロック|토카타와 푸가와 락|8|4|7|8|0|0|0|0||||||
大空と太鼓の踊り|대공과 태고의 춤|8|4|8|0|0|0|0|0||||||
