곡명|간단|후츠우|무즙|오니|우라
明け星|1|2|5|6|-
"踊
Ado"|2|3|5|8|-
"YONA YONA DANCE
和田アキ子"|2|5|5|8|-
"シル・ヴ・プレジデント
P丸様。"|3|4|5|7|-
"グッバイ宣言
Chinozo feat. flower"|3|5|6|8|-
"怪獣少女は火を吹かない
粗品 feat. 初音ミク"|3|5|6|8|9
"第六感
Reol"|3|5|5|7|-
Walking with you|2|4|5|8|-
DDU-DU DDU-DU|2|2|4|7|-
bad guy|3|5|6|7|-
"群青
YOASOBI"|2|4|6|8|-
"カラフル・パーティ
HIMAWARIちゃんねる"|1|2|4|5|-
夏祭り / ジッタリン・ジン|4|4|6|7|10
睡蓮花|3|3|5|7|-
"乱数調整のリバースシンデレラ
粗品 feat. 彩宮すう(CV:竹達彩奈)"|3|5|6|8|10
"チューリングラブ feat.Sou / ナナヲアカリ
ナユタン星人 / 「理系が恋に落ちたので証明してみた。」より"|2|5|6|8|-
"裸の心
TBS系 火曜ドラマ「私の家政夫ナギサさん」主題歌"|1|2|5|7|-
"月色Chainon
ももいろクローバーZ 劇場版「美少女戦士セーラームーンEternal」より"|3|4|6|7|-
"うっせぇわ
Ado"|2|2|3|8|-
猫|2|3|3|8|-
"廻廻奇譚
Eve TVアニメ『呪術廻戦』第1クールオープニングテーマ"|4|5|6|8|-
"宿命
Official髭男dism"|2|2|5|7|-
"Pretender
Official髭男dism"|2|2|4|5|-
"テーマ・オブ・半沢直樹 ～Main Title～
TBS系日曜劇場「半沢直樹」より"|1|2|2|8|-
それが大事|3|4|6|7|-
炎|1|2|1|4|-
"紅蓮華
「鬼滅の刃」より"|2|2|3|6|8
香水|1|2|3|6|-
"夜に駆ける
YOASOBI"|1|2|4|8|-
"だから僕は音楽を辞めた
ヨルシカ"|1|2|4|6|8
"ただ君に晴れ
ヨルシカ"|2|2|3|5|-
"秒針を噛む
ずっと真夜中でいいのに。"|2|4|5|8|-
"ロキ
みきとP feat.鏡音リン"|3|3|4|7|-
"前前前世
映画「君の名は。」より"|3|4|6|8|-
"愛にできることはまだあるかい
「天気の子」より"|2|2|4|5|8
白日|2|2|2|8|-
"まちがいさがし
菅田将暉"|1|2|4|8|-
"HIMAWARI HAPPY
HIMAWARIちゃんねる"|1|1|2|2|-
夏祭り|3|2|6|6|-
青と夏|2|2|3|6|-
"ピースサイン
米津玄師"|3|5|5|7|-
"馬と鹿
米津玄師 ／ TBS系 日曜劇場「ノーサイド・ゲーム」主題歌"|1|1|3|5|-
シュガーソングとビターステップ|3|4|5|8|-
マリーゴールド|1|1|4|6|-
"轟!!!
水溜りボンド"|2|2|3|6|-
"イイコ進化論（feat. O-LuHA）
えっちゃん"|3|6|7|9|-
"RESTART
TOSHIMITSU"|2|3|4|8|-
"ミュートすればいいじゃん。
ぁぃぁぃ"|3|4|4|7|-
"アバみ
アバンティーズ"|2|3|4|8|-
"8月の坂
んだほ＆ぺけたん from Fischer’s"|2|3|5|7|-
"虹
Fischer’s‐フィッシャーズ‐"|3|4|5|6|-
"ゴッドソング
バンドじゃないもん！MAXX NAKAYOSHI"|3|5|6|8|10
"神様の言うとおりに
ラトゥラトゥ（タケヤキ翔×マイキ）"|3|4|4|8|9
"猫サンキュー
夕闇に誘いし漆黒の天使達"|4|5|7|9|-
"今
HIKAKIN ＆ SEIKIN"|2|3|3|5|-
"YouTubeテーマソング
HIKAKIN ＆ SEIKIN"|3|4|5|7|-
"雑草
HIKAKIN ＆ SEIKIN"|3|3|5|6|-
"サクリファイス
まふまふ ／TVアニメ「かつて神だった獣たちへ」より"|3|4|4|8|-
"MOIL
須田景凪 映画「二ノ国」より"|2|2|3|7|-
君はロックを聴かない|1|1|2|4|-
"マスカット
「クレヨンしんちゃん」より"|1|1|1|2|-
"恋
ドラマ「逃げるは恥だが役に立つ」より"|2|3|3|6|-
"【双打】 恋
ドラマ「逃げるは恥だが役に立つ」より"|2|3|4|7|1
さよならエレジー|3|4|5|8|-
"高嶺の花子さん
back number"|2|4|4|6|-
"クリスマスソング
back number"|3|4|5|7|-
"Hope
安室奈美恵 「ワンピース」より"|2|3|5|7|-
"Hero
安室奈美恵"|2|3|3|7|-
"あなたとトゥラッタッタ♪
DREAMS COME TRUE ／ 「まんぷく」より"|1|1|1|1|10
世界はあなたに笑いかけている|3|4|5|8|-
天体観測|3|5|4|6|-
紅|3|4|7|8|-
Silent Jealousy|4|6|7|8|10
"ナンセンス文学
Eve"|2|2|4|7|-
"ドラマツルギー
Eve"|2|2|3|5|8
ひまわりの約束|3|4|5|7|-
"キセキ
ドラマ「ROOKIES」より"|3|2|3|2|-
愛唄|2|2|2|3|-
"ワタリドリ
[Alexandros]"|3|4|6|9|-
"JOIN US
UUUMコラボユニット"|2|3|3|7|-
"ともに
WANIMA"|3|4|5|7|-
さくらんぼ|4|4|4|8|-
"ハッピーウェディング前ソング
ヤバイTシャツ屋さん"|1|2|3|6|8
アンビバレント|2|2|4|7|-
シンクロニシティ|2|3|5|7|-
R.Y.U.S.E.I.|3|5|7|8|-
リンダリンダ|4|6|5|5|-
"刀剣乱舞
刀剣男士 team三条 with加州清光"|1|2|3|5|-
恋音と雨空|3|4|5|7|-
"WE WILL ROCK YOU
Written by Brian May © Queen Music Ltd"|2|2|3|5|-
"【双打】 WE WILL ROCK YOU
Written by Brian May © Queen Music Ltd"|2|3|4|6|-
"EXCITE
「仮面ライダーエグゼイド」より"|2|3|5|7|-
"女々しくて
ゴールデンボンバー"|3|4|5|8|-
Yes we are|1|1|3|7|-
"零 ‐ZERO‐
福山雅治　「名探偵コナン ゼロの執行人」より"|2|3|5|7|-
"カウントダウン
「名探偵コナン」より"|2|4|5|8|-
"AIAIAI （feat. 中田ヤスタカ）
Kizuna AI"|3|3|4|7|-
"Hello, Morning
Kizuna AI"|3|4|5|7|8
"RPG
「映画クレヨンしんちゃん バカうまっ！B級グルメサバイバル」より"|3|3|4|6|-
"Dragon Night
SEKAI NO OWARI"|3|4|5|8|-
"明日も
NTTドコモ「ドコモの学割」CMソング"|1|2|3|2|-
"誘惑
GLAY"|3|4|5|7|-
"HOWEVER
GLAY"|2|3|3|6|-
"シン・ゾンビ
GLAY×太鼓の達人タイアップソング"|3|4|6|9|-
私以外私じゃないの|4|6|6|8|-
にんじゃりばんばん|3|5|6|8|-
インベーダーインベーダー|3|4|6|6|-
"ファッションモンスター
きゃりーぱみゅぱみゅ"|3|4|5|7|-
"PON PON PON
きゃりーぱみゅぱみゅ"|3|4|4|6|-
"見たこともない景色
au 三太郎サッカー応援 CMソング"|1|2|4|6|8
嘘|3|5|5|6|-
レイン|3|4|5|7|-
"STAY TUNE
Suchmos"|2|3|5|7|-
ごめんなさいのKissing You|4|5|6|7|-
"ハルウタ
「名探偵コナン 11人目のストライカー」より"|3|4|5|6|-
恋するフォーチュンクッキー|3|4|6|7|-
フライングゲット|2|3|5|5|-
ヘビーローテーション|2|3|3|6|-
ポニーテールとシュシュ|3|5|6|7|-
"Everyday、カチューシャ
映画「もしドラ」主題歌"|3|2|4|6|-
"華振舞
和楽器バンド"|4|5|7|9|-
"命短し恋せよ乙女
MOSHIMO"|3|3|5|7|-
よく遊びよく学べ|2|3|1|3|-
"DREAMERS’ PARADISE
DANCE EARTH PARTY タイアップソング"|3|4|6|7|-
"ラブソングはとまらないよ
「カルピスウォーター」CMソング"|3|4|4|6|-
"さちさちにしてあげる♪
小林幸子"|3|6|7|7|10
"I my moko
桃井はるこ"|3|5|6|8|-
