곡명|간단|후츠우|무즙|오니|우라
"駆け抜けてゆく
すえP 「シンクロニカ」より"|4|5|6|8|-
"Make debut!
TVアニメ『ウマ娘 プリティーダービー』OP主題歌より"|3|5|4|7|-
"ゆらめ
ミフメイ 「シンクロニカ」より"|5|7|8|9|-
"なんどでも笑おう
THE IDOLM@STER FIVE STARS!!!!!"|3|4|5|7|-
"MEGALOVANIA
「UNDERTALE」より"|4|5|7|9|-
"夢と希望
「UNDERTALE」より"|3|5|6|8|-
スーパーマリオブラザーズ|4|5|7|8|-
"Jump Up Super Star！ Short Version
「スーパーマリオ オデッセイ」より"|3|4|5|8|-
"星のカービィメドレー
「星のカービィ Wii」より"|2|4|5|8|-
"メタナイトの逆襲メドレー
「星のカービィ ウルトラスーパーデラックス」より"|3|4|7|7|10
スプラトゥーン2 メドレー|2|3|5|7|9
"シオカラ節
「スプラトゥーン」より"|2|4|5|7|-
"妖怪ウォッチ2 元祖／本家／真打
BGMメドレー"|2|3|6|9|-
"ダンスロボットダンス
ナユタン星人 feat.初音ミク 「戦闘摂理解析システム#コンパス」より"|3|4|4|9|-
"撥条少女時計
Drop＆葉月ゆら feat.初音ミク 「戦闘摂理解析システム#コンパス」より"|2|3|4|8|-
"グラーヴェ
niki feat.初音ミク 「戦闘摂理解析システム#コンパス」より"|2|2|4|8|-
"アルカリレットウセイ
かいりきベア feat.初音ミク 「戦闘摂理解析システム#コンパス」より"|3|4|5|7|-
"バイオレンストリガー
八王子P feat.初音ミク 「戦闘摂理解析システム#コンパス」より"|3|4|6|9|-
"ハイスペックニート
40mP feat.初音ミク 「戦闘摂理解析システム#コンパス」より"|3|4|6|8|-
"カンタービレ×パッシオーネ
OSTER project feat.初音ミク 「戦闘摂理解析システム#コンパス」より"|2|3|4|7|9
"残響
164 feat.GUMI 「戦闘摂理解析システム#コンパス」より"|2|4|5|6|9
"レトロマニア狂想曲
PolyphonicBranch feat.鏡音リン・鏡音レン 「戦闘摂理解析システム#コンパス」より"|3|5|7|8|-
"キレキャリオン
ポリスピカデリー feat.初音ミク 「戦闘摂理解析システム#コンパス」より"|2|3|4|8|-
"カ！カ！カ！カミズモード！
「最響カミズモード！」より"|2|2|3|7|-
"Circle of Seasons
アニメ「A3!」より"|2|4|4|6|-
"Act！ Addict！ Actors！
アニメ「A3！」より"|2|3|4|5|8
"MANKAI☆開花宣言
「A3！」主題歌"|2|4|4|5|-
"DiSCOVER THE FUTURE
TVアニメ「アイドリッシュセブン Second BEAT！」より"|2|4|4|5|-
