곡명|간단|후츠우|무즙|오니|우라
明け星|1|2|5|6|-
"liveDevil
「仮面ライダーリバイス」より"|2|3|5|6|-
"Fun!Fun!Fun! ～夢∞～
「ビッ友×戦士 キラメキパワーズ！」より"|2|3|5|6|-
Baby Shark（ベイビー・シャーク）|1|1|3|4|-
"ウィーアー！
「ワンピース」より"|3|4|5|6|-
"カラフル・パーティ
HIMAWARIちゃんねる"|1|2|4|5|-
Viva! Spark!トロピカル～ジュ！プリキュア|1|2|3|4|7
"全力全開！ゼンカイジャー
「機界戦隊ゼンカイジャー」より"|2|2|4|6|-
"カ！カ！カ！カミズモード！
「最響カミズモード！」より"|2|2|3|7|-
炎|1|2|1|4|-
"紅蓮華
「鬼滅の刃」より"|2|2|3|6|8
"轟!!!
水溜りボンド"|2|2|3|6|-
"ALMIGHTY～仮面の約束
「仮面ライダーセイバー」より"|1|1|4|6|-
"REAL×EYEZ
「仮面ライダーゼロワン」より"|2|2|3|4|-
魔進戦隊キラメイジャー|1|2|4|5|-
"ギンギラ銀河
「妖怪学園Y ～Nとの遭遇～」より"|2|3|4|6|-
"ようかい体操第一
「妖怪ウォッチ」より"|2|3|5|7|-
"HIMAWARI HAPPY
HIMAWARIちゃんねる"|1|1|2|2|-
"チュワパネ！
「ひみつ×戦士 ファントミラージュ！」より"|1|1|3|5|-
"ミルミル ～未来ミエル～
「魔法×戦士 マジマジョピュアーズ！」より"|1|2|4|5|-
ヒーリングっど♥プリキュア Touch!!|1|2|3|6|-
"Let It Go～ありのままで～
「アナと雪の女王」より"|2|2|2|4|-
夢をかなえてドラえもん|1|1|2|4|-
"マスカット
「クレヨンしんちゃん」より"|1|1|1|2|-
アンパンマンのマーチ|2|1|5|1|-
"Smile！ Smile！ Smile！
「少年アシベ GO!GO!ゴマちゃん」より"|2|2|4|5|9
名探偵コナン メイン・テーマ|3|1|5|6|-
"めざせポケモンマスター ‐20th Anniversary‐
「劇場版ポケットモンスター キミにきめた！」より"|2|4|6|8|8
"8月の坂
んだほ＆ぺけたん from Fischer’s"|2|3|5|7|-
"虹
Fischer’s‐フィッシャーズ‐"|3|4|5|6|-
"ヒミツキチューバー
「ニンジャボックス」より"|3|4|6|8|-
"今
HIKAKIN ＆ SEIKIN"|2|3|3|5|-
"YouTubeテーマソング
HIKAKIN ＆ SEIKIN"|3|4|5|7|-
"雑草
HIKAKIN ＆ SEIKIN"|3|3|5|6|-
"EXCITE
「仮面ライダーエグゼイド」より"|2|3|5|7|-
"RPG
「映画クレヨンしんちゃん バカうまっ！B級グルメサバイバル」より"|3|3|4|6|-
