title|sub_title|level|ranked|genre1|genre2|is_ura|individual|first_play|full_combo|do_jo||||||
冬竜 ～Toryu～|동룡|9|2|8|0|1|0|0|1|0||||||
Shiny Kung-fu Revival||9|2|8|0|0|1|0|0|0||||||
punk bastards||9|2|8|0|0|0|0|0|0||||||
闇の魔法少女|어둠의 마법소녀|9|2|8|0|0|0|0|0|0||||||
脳漿炸裂ガール|뇌장작렬걸|9|2|4|0|1|1|0|1|0||||||
Phantom Rider||9|2|8|0|1|1|1|0|0||||||
カラフルボイス|컬러풀 보이스|9|2|8|4|0|0|0|0|0||||||
珈琲の味と|커피의 맛과|9|2|4|8|0|0|0|0|0||||||
患部で止まってすぐ溶ける ～ 狂気の優曇華院|환부에서 멈춰서 바로 녹는다~광기의 우동게인|9|2|6|0|0|0|0|0|0||||||
アイドル狂戦士|아이돌 광전사|9|2|6|0|1|0|0|0|0||||||
ゴーストルール|고스트 룰|9|2|4|0|1|1|0|0|0||||||
パラレルロリポップ|페럴렐 롤리팝|9|2|8|0|0|0|0|0|0||||||
シンクロニカ・エアライン|싱크로니카·에어라인|9|2|5|0|0|0|0|0|0||||||
TD - 28619029byte remix -|택동 - 28619029byte remix -|9|2|5|0|0|0|0|0|0||||||
Turquoise Tachometer||9|2|8|0|0|1|0|0|0||||||
イオシス秋の肉食祭2014|이오시스 가을의 육식제 2014|9|2|8|0|0|0|0|0|9||||||
千鼓千鼓|치코치코|9|3|7|8|0|0|0|0|0||||||
氷竜 ～Kooryu～|빙룡|9|3|8|0|0|0|0|0|0||||||
Scream out!||9|3|6|0|1|0|0|0|0||||||
PAC-MAN CHAMPIONSHIP EDITION 2||9|3|5|0|0|0|0|0|0||||||
春竜 ～Haryu～|춘룡|9|3|8|0|1|0|0|0|0||||||
CYBERgenicALICE||9|3|8|0|0|0|0|0|0||||||
ユースフルコースター|유즈풀 코스터|9|3|8|0|0|0|0|0|0||||||
Princess of Donder||9|3|8|0|0|0|0|0|0||||||
Abandoned Temple Final 2nd||9|3|5|0|0|0|0|0|0||||||
ケロ⑨destiny|케로⑨destiny|9|3|6|0|0|1|0|0|0||||||
夏竜 ～Karyu～||9|3|8|0|1|1|0|0|0||||||
夜明けまであと3秒|새벽까지 앞으로 3초|9|3|5|0|0|0|0|0|0||||||
B.B.K.K.B.K.K.||9|3|6|0|0|0|0|0|0||||||
SHOGYO MUJO【達人】||9|3|5|0|0|0|0|0|0||||||
