곡명|간단|후츠우|무즙|오니|우라
どんちゃん世界旅行 NEW! SECRET!|4|4|6|7|-
"Solitude Star NEW! SECRET!
春先 x beet"|5|6|7|9|-
"Agent Hustle & Dr. Hassle NEW! SECRET!
Cory Tarrow(BNSI)"|4|5|6|10|9
"Spectral Rider NEW! SECRET!
濱本理央(BNSI)"|5|6|7|10|-
"たいこの2000 NEW!
太鼓 de タイムトラベル紀元前 / LindaAI-CUE"|5|7|8|10|-
"仮想現実のテレスコープ
deli."|4|5|7|9|-
"punk bastards
Sobrem"|5|6|7|9|-
"燃えよサファイア
庭師"|4|6|7|9|-
"大好きな太鼓の音
太鼓の達人20周年記念ソング / 粗品 feat. どんちゃん"|3|6|7|8|9
"平等院鳳凰ドン vs 鳥獣戯カッ
太鼓 de タイムトラベル平安 / コバヤシユウヤ(IOSYS) feat. miko"|3|5|6|7|-
"一世風靡
太鼓 de タイムトラベル江戸 / 西込加久見"|4|5|6|9|-
"大冒険タツドン
太鼓 de タイムトラベル60's / 田島勝朗 feat. シックスティーズ・クワイヤーズ"|2|4|6|8|-
"刻竜 ～Kokuryu～ SECRET!
あず♪"|5|7|7|10|-
"†バチ!ムチ!?マッスルキングダム† SECRET!
溝口ゆうま feat. 大瀬良あい♡まるもこ"|5|7|7|10|-
"魑魅魍魎 SECRET!
Laur"|4|6|7|10|-
"憎悪と醜悪の花束 SECRET!
t+pazolite"|5|7|8|10|10
"鼓舞曲「閻魔」
山本真央樹"|5|7|8|10|-
"Aloft in the wind
Qutabire"|3|5|6|7|-
"Emma
BlackY feat. Risa Yuzuki"|3|5|5|7|-
"Hello, Worldooon!!
Capchii feat. Kuroa*"|3|5|6|7|-
"恋はドント・ダウト
太鼓 de タイムトラベル70's / Kawagen Kollagen with yuzuki"|4|5|6|8|-
"Donder Time
太鼓 de タイムトラベル80's / おおがみまさこ feat.団地ノ宮琴子"|4|6|6|8|-
"Hold me tight
太鼓 de タイムトラベル90's / Tatsh&musica with パークマンサー"|4|6|6|8|-
どんちゃん音頭 SECRET!|2|3|6|7|-
"ボクらのまえに道はある SECRET!
HONOKA"|4|5|7|8|-
"Amber Light SECRET!
BNSI(中鶴潤一)"|5|7|8|9|-
