곡명|간단|후츠우|무즙|오니|우라
"グッバイ宣言
Chinozo feat. flower"|3|5|6|8|-
"怪獣少女は火を吹かない
粗品 feat. 初音ミク"|3|5|6|8|9
"ヴァンパイア
DECO*27 feat.初音ミク"|3|5|6|8|-
"ベノム(feat.flower)
かいりきベア"|2|4|6|8|-
"KING
Kanaria feat.GUMI"|2|5|6|8|-
"4+1のそれぞれの未来 SECRET!
太鼓 de タイムトラベル00's / cosMo＠暴走P feat.初音ミク"|5|7|8|10|-
"テルミービート
キノシタ feat. 鏡音リン"|3|5|6|8|-
"テオ
Omoi feat.初音ミク"|2|5|6|8|-
"幾望の月
なきゃむりゃ feat. 結月ゆかり"|4|5|7|9|-
"千本桜
黒うさP feat.初音ミク"|3|5|6|7|8
"ロキ
みきとP feat.鏡音リン"|3|3|4|7|-
"いーあるふぁんくらぶ
みきとP feat.GUMI・鏡音リン"|3|4|6|8|-
"だれかの心臓になれたなら
ユリイ・カノン feat.GUMI"|3|4|6|8|-
"六兆年と一夜物語
kemu feat.IA"|3|5|7|9|9
"拝啓ドッペルゲンガー
kemu feat. GUMI"|3|5|7|10|-
"シャルル
バルーン feat.flower"|4|5|6|8|-
"雨とペトラ
バルーン feat.flower"|3|4|5|6|8
"命に嫌われている。
カンザキイオリ feat.初音ミク"|2|3|5|7|8
"ヒバナ
DECO*27 feat.初音ミク"|4|5|6|8|10
"乙女解剖
DECO*27 feat.初音ミク"|2|3|4|6|8
"ゴーストルール
DECO*27 feat.初音ミク"|4|5|7|8|9
"アスノヨゾラ哨戒班
Orangestar feat.IA"|4|6|7|9|-
"脳漿炸裂ガール
れるりり feat.初音ミク・GUMI"|4|5|6|8|9
"ロストワンの号哭
Neru feat.鏡音リン"|3|4|7|8|-
"東京テディベア
Neru feat.鏡音リン"|4|6|6|8|-
"太陽系デスコ
ナユタン星人 feat.初音ミク"|3|4|5|8|-
"エイリアンエイリアン
ナユタン星人 feat.初音ミク"|3|5|6|9|-
"天ノ弱
164 feat.GUMI"|4|5|6|8|-
"残響
164 feat.GUMI 「戦闘摂理解析システム#コンパス」より"|2|4|5|6|9
"ナンセンス文学
Eve"|2|2|4|7|-
"ドラマツルギー
Eve"|2|2|3|5|8
"ダンスロボットダンス
ナユタン星人 feat.初音ミク 「戦闘摂理解析システム#コンパス」より"|3|4|4|9|-
"撥条少女時計
Drop＆葉月ゆら feat.初音ミク 「戦闘摂理解析システム#コンパス」より"|2|3|4|8|-
"グラーヴェ
niki feat.初音ミク 「戦闘摂理解析システム#コンパス」より"|2|2|4|8|-
"アルカリレットウセイ
かいりきベア feat.初音ミク 「戦闘摂理解析システム#コンパス」より"|3|4|5|7|-
"バイオレンストリガー
八王子P feat.初音ミク 「戦闘摂理解析システム#コンパス」より"|3|4|6|9|-
"ハイスペックニート
40mP feat.初音ミク 「戦闘摂理解析システム#コンパス」より"|3|4|6|8|-
"カンタービレ×パッシオーネ
OSTER project feat.初音ミク 「戦闘摂理解析システム#コンパス」より"|2|3|4|7|9
"レトロマニア狂想曲
PolyphonicBranch feat.鏡音リン・鏡音レン 「戦闘摂理解析システム#コンパス」より"|3|5|7|8|-
"キレキャリオン
ポリスピカデリー feat.初音ミク 「戦闘摂理解析システム#コンパス」より"|2|3|4|8|-
"+♂(プラス男子)
ギガれをる feat.鏡音レン"|4|5|6|7|9
"ギガンティックO.T.N
ギガれをる feat.鏡音レン"|3|6|7|9|10
"カゲロウデイズ
じん"|3|5|5|7|8
"ワールズエンド・ダンスホール
wowaka feat.初音ミク、巡音ルカ"|4|5|6|9|-
"モノクロボイス
cosMo＠暴走P feat.初音ミク・GUMI"|4|6|7|10|10
"カラフルボイス
cosMo＠暴走P feat.初音ミク・GUMI"|5|7|7|9|10
初音ミクの消失‐劇場版‐|5|7|8|9|10
"ルカルカ★ナイトフィーバー
samfree feat.巡音ルカ"|3|6|7|8|9
"おにぎりはどこかしら♪
よみぃ feat.初音ミク"|5|7|8|9|-
"M.S.S.Planet
M.S.S Project feat.初音ミク・GUMI"|3|5|7|8|-
"愛×愛ホイッスル(カレーメシ公式曲)
PolyphonicBranch feat.初音ミク・鏡音リン"|4|6|8|9|-
"トオリヨ
テヅカ feat.鏡音リン・鏡音レン"|3|5|6|8|-
"もしもし神様
テヅカ feat.鏡音リン・鏡音レン"|3|5|6|8|-
"EDY ‐エレクトリカルダンシングヨガ‐
feat.鏡音リン・鏡音レン"|4|6|7|9|-
"SstTAarR*
M‐O‐T‐U feat.初音ミク"|5|7|8|10|-
"わんにゃーワールド
feat.鏡音リン・鏡音レン starring 下田麻美"|4|5|6|9|-
"重金属フューギティブ
リューイッティ feat.GUMI"|4|6|7|10|-
"Eternal bond
リューイッティ feat.GUMI"|5|6|8|8|-
"BORDERLESS
ZOLA PROJECT"|4|6|5|8|-
"ゲラゲラと笑うな
石風呂 feat.IA"|3|5|6|9|-
"カラ鞠の花
はるなば feat.結月ゆかり"|4|7|7|10|-
"ゴーストマスク
はるなば feat.結月ゆかり＆石黒千尋"|4|6|7|10|-
"花オト裏拍子
はるなば feat.初音ミク"|3|5|6|9|-
"珈琲の味と
はるなば feat.GUMI"|4|5|6|9|-
"にんじんにん
豊永ごんたP feat.GUMI"|3|4|5|8|-
"ドキドキ恋の予感！？
Noriyuki feat.GUMI"|3|4|5|7|-
"僕らの世界にダンスを
サカモト教授 feat. GUMI"|4|5|5|7|-
"さちさちにしてあげる♪
小林幸子"|3|6|7|7|10
